,text,sentiment,numaric_presentatin_of_sentiment
1358,happy to join the ranks of physiatry against covid vaccine  part   done  thank you pfizerbiontech… ,Positive,2
1359,was a real pleasure to volunteer on my post nights shift royalfreenhs to consent patients staff and key workers a… ,Positive,2
1360,profdfrancis popenshaw rkhamis rallamee drshaisen ricardopetraco imperialnhli when i heard yesterday we wer… ,Neutral,1
1361,well i think its clear we have a winner  healthcare worker administering the vaccine did not reali… ,Positive,2
1362,fase  pfizer pfizerbiontech vacuna  ,Neutral,1
1363,helpmybreathing pfizer bealelab drsimonashworth marktoshner and can confirm felt same when got my first dose… ,Neutral,1
1364,helpmybreathing pfizer bealelab drsimonashworth marktoshner looking forward to reporting same when i vaccinat… ,Neutral,1
1365,reutersuk waiting for euuktradedeal ukeutradedeal euukbrexittradedeal ukeubrexittradedeal so  leads  incl… ,Neutral,1
1366,martindaubney mfogarty guyverhofstadt i think guyverhofstadt is sexy european name eu  europeanunion… ,Positive,2
1367,pfizer nears deal with trumpadministration to provide more vaccine doses pfizerbiontech… ,Neutral,1
1368,yay i got my covid vaccine at ummc and i am feeling fine  ummcnews   fasserotweet… ,Positive,2
1369,tremendous effortsfor a better mankind pfizer pfizer pfizerbiontech pfizercovidvaccine  ,Positive,2
1370,christmas hits all i want for christmas is you mariahcarey   pfizerbiontech pfizer… ,Positive,2
1371,the clinic is underway the pfizerbiontech  vaccine is being administered in kalamazoo county right now… ,Neutral,1
1372,“we are protecting the high risk” realdonaldtrump bull shit if that were true  yo grocery workers wouldn’t… ,Negative,0
1373,breaking  dubai gets first pfizerbiontech vaccines ahead of free vaccination drive dxbmediaoffice ,Positive,2
1374,italian medicines agency aifaufficiale general manager nicola magrini appears emotional while announcing the… ,Positive,2
1375,realdonaldtrump so why is the pfizerbiontech vaccine being held up in warehouses,Neutral,1
1376,breaking uae ministry of health amp prevention confirms the emergency registration of pfizerbiontech vaccine in the uae  wam,Negative,0
1377,justintrudeau cphocanada pattyhajdu billblair dleblancnb all we want for christmas  all you ccpchina  mol… ,Positive,2
1378,the question everyone has asked me about my pfizerbiontech experience i will be getting the  dose and i work i… ,Neutral,1
1379, hours since my first pfizerbiontech covidvaccination for me no side effects noted thus far the widely descri… ,Negative,0
1380,according to dxbmediaoffice the pfizerbiontech vaccine will soon be available free of charge… ,Positive,2
1381,breaking dubai’s supreme committee of crisis and disaster management says an extensive inoculation campaign again… ,Negative,0
1382,breaking  dubai has approved the use of the pfizerbiontech vaccine the government will start an extensive inocu… ,Positive,2
1383,news alert  dubai has approved its  vaccine pfizerbiontech which will roll out to the public free of charge starting wednesday,Positive,2
1384,the eucommission approved the pfizerbiontech covid vaccine hours after the european medicines agency ema ga… ,Positive,2
1385,coronavirus dubai to start using pfizerbiontech vaccine via thenationalnews,Neutral,1
1386,mutated coronavirus strain known as vui– or lineage b has sent the pharma companies back to their la… ,Negative,0
1387,dose  complete pfizerbiontech there are quotes on the glass as you enter harborviewmc when i see this quote… ,Neutral,1
1388,bostonchildrens thankful there is finally light at the end of this tunnel  science research… ,Positive,2
1389,pfizerbiontech moderna begin testing their covid vaccines against new coronavirusstrain ,Neutral,1
1390,this week as the first doses of the pfizerbiontech  vaccine were administered at wolfsonmed members of… ,Neutral,1
1391,massive announcement this free pfizer vaccine for all as part of a vaccination drive in dubai starting tomorrow… ,Positive,2
1392,a groundbreaking research by wang nianshuang a chinese scientist then working at dr jason mclellan’s lab at ut aus… ,Neutral,1
1393,breaking dubai emergency crisis and disasters committee confirm the launch of pfizerbiontech vaccine campaign fo… ,Negative,0
1394,countriesregions with approved vaccines                       … ,Positive,2
1395,breaking the italian medicines agency aifa approves the use of the pfizerbiontech vaccine in italy this foll… ,Positive,2
1396,i chose to get vaccinated today get yours too  pfizerbiontech  nhs nhsheroes… ,Neutral,1
1397,vaccine part  done pfizerbiontech imperialnhs vaccination,Neutral,1
1398,everyone one thinking about side effects of covid vaccine read this  pfizervaccine pfizerbiontech fda ,Neutral,1
1399,can anthonyfauci convince people to trust the lets talk about it vaccines biontech pfizer… ,Positive,2
1400,covid vaccination first task is done  pfizerbiontech dontpanic vaccinessavelives ,Neutral,1
1401,today i had  dose of  pfizerbiontech vaccine thank you to martin amp danny for making me feel at ease des… ,Positive,2
1402,spending the afternoon volunteering to prescribe for the pfizerbiontech vaccine mkhospital following being vaccin… ,Neutral,1
1403,covid jab very likely to protect against new variant  coronavirus uk pfizer biontech pfizerbiontech ,Positive,2
1404,abscbnnews roll out to pandemic heroes pfizerbiontech  vaccine roll out rollout,Positive,2
1405,nice article explaining how m rna vaccine will work pfizerbiontech ,Positive,2
1406,i just sat down to with a fresh cup of coffee  so i could witness drfauci receive the  vaccine live lik… ,Positive,2
1407,teammates that vaccinate together stay together icupharm twitterx pfizerbiontech ,Neutral,1
1408,it’s a two dose vaccine should we give a larger number of people just one shot or a smaller group two shots as… ,Positive,2
1409,this vaccination has already started in three residential care centres in belgium the  years old jos hermans wa… ,Positive,2
1410,its simple the mere fact that pfizerbiontech bosses say they can produce a new vaccine for  variant onl… ,Neutral,1
1411,i just received my covid vaccine  it feels a bit exciting and historic pfizerbiontech ,Positive,2
1412,first vaccinations have begun being administered at nursing homes across the us pfizervaccine pfizerbiontech  ,Neutral,1
1413,but how level playing field eubelgium belgique vaccinatie pfizerbiontech alexanderdecroo sciensano… ,Positive,2
1414,the moderna vaccine is an important addition to the pfizerbiontech mrna  vaccine many are wondering ho… ,Positive,2
1415, freezers arrive in cyprus for first vaccines euvaccinationdays to start dec  with pfizerbiontechs… ,Neutral,1
1416,the europeanunion has approved the usage of the pfizerbiontech vaccine against the novel coronavirus within the… ,Positive,2
1417, darkinrosie flyingste slightlyatsea yeah especially considering we only got  pfizerbiontech va… ,Positive,2
1418, vaccinoanticovid vaccino vaccinocovid pfizer pfizerbiontech italia  … ,Neutral,1
1419,i got vaccinated hurraah covidvaccine pfizerbiontech vaccineswork ,Neutral,1
1420,great to hear north shields primary care network pcn director dr dave tomson speaking of the team effort involved… ,Positive,2
1421,  public outcry stop lying  no one wants that pfizerbiontech vaccine ,Negative,0
1422,congratulations john vaccineidol amazing photos from north shields as the second site goes live in northtyneside… ,Positive,2
1423,i highly doubt it you cant control a virus with a vaccine vaccineswontwork   mutation… ,Negative,0
1424,are you scared andor worried of the new vaccine   vaccine vaccination pfizer pfizervaccine… ,Negative,0
1425,grateful amp proud to get my first of two covid vaccine doses so i can minimise the risk to the patients i see… ,Positive,2
1426,barring all economics knowledge and health system externality in future i still recommend you send the right signa… ,Positive,2
1427,pfizerbiontech  is set to make  in  but will other vaccines be able to follow in its lucrative footsteps,Neutral,1
1428,check out this excellent resource on vaccines amp immunity by ⁦idsainfo⁩ with realtime information on moderna and… ,Positive,2
1429,watch mutationbeating vaccine possible in six weeks pfizerbiontech covidvaccine… ,Neutral,1
1430,neither will we pfizerbiontech has produced an experimental mrna vaccine that is unsafe amp with no safety data… ,Positive,2
1431,  ⁦bbcnews⁩ ⁦bbcbreaking⁩ ⁦bbcworld⁩ ⁦skynews⁩ ⁦skynewsbreak⁩ ⁦cnn⁩ ⁦foxnews⁩ ⁦lbcnews ⁦… ,Neutral,1
1432,i may not be eligible for the covid vaccine but i can ensure that my family stay safe here’s looking to a better … ,Positive,2
1433,getvaccinated will take the pfizerbiontechvaccine as soon as i am up expect my usual reactions fever tiredn… ,Neutral,1
1434,a nurse at a chattanooga hospital in tennessee united states fainted at a press conference after receiving the pfi… ,Positive,2
1435,it was wonderful speaking to leenaanees who was one of the first people in the uk to have received the… ,Positive,2
1436,nathankg pfizerbiontech say they can produce a new vaccine for the mutant in  unbelievable that a virus ha… ,Positive,2
1437,eu approves pfizerbiontech covid vaccine read more ,Positive,2
1438,yesterday the eus medicines agency approved pfizerbiontech vaccine however the eu with a population of  m… ,Positive,2
1439,uff breath out guys ugur sahin boss of biontech the man behind pfizerbiontech vaccine read … ,Neutral,1
1440,dose  of the pfizerbiontech vaccine  one to go and posing no risk to my vulnerable patients and others by late j… ,Negative,0
1441,european commission approves use of pfizerbiontech covid vaccine in eu bombhaat ,Positive,2
1442,the next day if nigerian  patients were injected with the nafdacvaccine zombie pfizerbiontech… ,Neutral,1
1443,us presidentelect joebiden joebiden received the first dose of the coronavirus vaccine during a televised eve… ,Neutral,1
1444,covid  pfizerbiontech vaccine approved for eu states research… ,Positive,2
1445,the vaccine is here in qatar first batch to be given to elderly those with chronic conditions amp medical staff fr… ,Neutral,1
1446,health eu paves way for  vaccination campaigns euhealth coronavirus… ,Neutral,1
1447,biontechgroup ceo says could provide a new vaccine to mimic significant virus mutations within  weeks but a… ,Positive,2
1448,biontech chief executive said on monday he was confident a  vaccine codeveloped with pfizerbiontech w… ,Positive,2
1449,saudiarabia has started a massive vaccination campaign against the novel coronavirus with the minister of health… ,Positive,2
1450,singapore has become asia’s first country to receive the delivery of pfizerbiontech covid vaccine on monday dece… ,Neutral,1
1451,singapore receives asias first shipment of pfizerbiontechdeveloped covid vaccine on  dec a week prior to… ,Neutral,1
1452,icymi im feeling dizzy us nurse faints after getting pfizer covid vaccine shot a nurse at a tennessee hospita… ,Negative,0
1453,founder of german biotechnology company biontech ugur sahin said their vaccine will be effective against new mu… ,Positive,2
1454,well folks i’ve had my first dose of the pfizeruk biontechgroup vaccine on sunday all is good and no side eff… ,Positive,2
1455,interesting tendency americans usually calling it pfizer and europeans biontechvaccine pfizerbiontech,Positive,2
1456,the us began administering vaccines a week ago and has approved jabs developed by pfizerbiontech and moderna ,Positive,2
1457,us presidentelect joebiden publicly receives first course of pfizerbiontech … ,Neutral,1
1458,nstnation the science technology and innovation minister in a series of tweets said he would hold a press confere… ,Positive,2
1459,in the uk the absence of data has led regulators to exclude pregnant and breastfeeding women from vaccination… ,Negative,0
1460, the eu now has a vaccine it can roll out to hundreds of millions their more ‘careful’ regulator will review… ,Neutral,1
1461,presidentelect joebiden received his first dose of the pfizerbiontech  vaccine monday bombhaat ,Neutral,1
1462,sosomething pretty cool happened today  firstdose pfizerbiontech healthcareprofessional… ,Positive,2
1463,the first to decline federal funding the first to receive eua  how the pfizerbiontech covid vaccine was dev… ,Neutral,1
1464,presidentelect joebiden received his first dose of the pfizerbiontech coronavirusvaccine on live television mon… ,Neutral,1
1465,covidvaccine pfizerbiontech  so far so good vaccineswork ,Positive,2
1466,pfizerbion vaccines are in hospitals for almost a week now about  people have received the vaccinations p… ,Neutral,1
1467,singapore gets asias first pfizerbiontech coronavirus vaccine doses singapore pfizer pfizerbiontech … ,Neutral,1
1468,pfizerbiontech vaccine has fda eua of course the usual question well what’s in the vaccine pfizerbiontech… ,Positive,2
1469,the eu finally gave the green light for the pfizerbiontech coronavirusvaccine on monday paving the way for the… ,Neutral,1
1470,the europeanunion is gearing up to start mass vaccinations against  just after christmas following the app… ,Neutral,1
1471,europe approves pfizerbiontech coronavirus vaccine source  … ,Positive,2
1472,show me your bandaid believe in science  thank the researchers who make it possible for hcw to care for patien… ,Positive,2
1473,govrondesantis should not get a vaccine until every last citizen in florida gets one vaccine pfizerbiontech… ,Neutral,1
1474,presidentelect joebiden receives covid vaccine  coronavirus pfizerbiontech joebidenpresidentelect… ,Neutral,1
1475,headsup warning for covidvaccine pfizervaccine pfizerbiontech out of britain for anyone with history of… ,Negative,0
1476,us presidentelect joe biden receives first dose of pfizerbiontech coronavirus vaccine ,Neutral,1
1477,any real news from tiffany p dover  not old pics sold for new ones y was her fb account canceled today y isnt… ,Neutral,1
1478,even when you’re in a bad mood i want to fuck you pfizerbiontech ,Negative,0
1479,the first shipment of the coronavirus covid vaccine manufactured by pfizer and biontech has arrived in the s… ,Neutral,1
1480,today i joined thousands of people across the usa in receiving the pfizerbiontech  vaccine thanks to our… ,Positive,2
1481,us presidentelect joebiden has received the first course of the pfizerbiontech vaccine at christianacare hospita… ,Neutral,1
1482,presidentelect joe biden got vaccinated against  on live television joebiden received first dose of… ,Neutral,1
1483,dose  of the covid vaccine complete thank you to president trump the minds behind operation warpspeed and the r… ,Positive,2
1484,pfizerbiontech what was status of vaccine in india,Neutral,1
1485,a nurse practitioner at christianacare hospital in delaware administered the first dose of the vaccine produced by… ,Neutral,1
1486, was waiting for niaid to get its dosesdidn’t want to cut in line i wonder if since they helped run the… ,Negative,0
1487,interesting read on the thoughts about polyethylene glycol being the cause of anaphylaxis in those receiving the… ,Positive,2
1488, so far both pfizerbiontech and moderna vaccine works,Neutral,1
1489,i got my pfizerbiontech  vaccine today i’m feeling fine with my early christmas present and i’m hoping w… ,Positive,2
1490,got my vaccine covidvacccine mrna pfizerbiontech ,Neutral,1
1491,stop taking pictures of giving the vaccine and start giving it our more and widely  vaccine pfizer pfizerbiontech moderna,Positive,2
1492,as linmanuel wrote i’m not throwing away my shotthisisourshot stickittocovid covidvaccine leadbyexample… ,Neutral,1
1493,noor hisham says it takes  days for malaysia to vet pfizer vaccine people are dying and malaysia is slow ass… ,Neutral,1
1494,i want to ask world health organization who isnt it strange to find a new strain evolution of  in the… ,Positive,2
1495,how vaccines changed our  most of us are lucky to have never seen these in real life but older generations will r… ,Positive,2
1496,chinas sinovac covid vaccine proves effective in brazil trials  wsj ukcovidcrisis… ,Positive,2
1497,i took a selfie with the pfizerbiontech covid vaccine it arrived in el centro california and it was immediate… ,Neutral,1
1498,thank you pfizerbiontech ,Positive,2
1499,usa  us presidentelect joe biden has been vaccinated with the  shot of the twoshot pfizerbiontech… ,Neutral,1
1500,pfizerbiontech getting my shot on wednesday  am follow up  weeks later thank you if i had a request f… ,Positive,2
1501,aside from comirnaty also other names have been proposed for the  … ,Neutral,1
1502,ukcovid uklockdown reinounido  mutation coronavirus    … ,Neutral,1
1503, covid us presidentelect joe biden gets vaccine live on tv ,Neutral,1
1504,given all the questions regarding the pfizerbiontech covidvaccine and allergic reactions i am happy to see this… ,Positive,2
1505, has led to moderna modernavaccine  led to pfizerbiontech pfizervaccine who scientists say… ,Neutral,1
1506,december   for more information on the covid pandemic across canada and around the world click the li… ,Neutral,1
1507,presidentelect joebiden received his first dose of the pfizerbiontech  vaccine monday the event was br… ,Neutral,1
1508,pfizer sending tiktokus and instagram influencers the covid vaccine is genius finally fighting back against… ,Negative,0
1509,does anyone know what ingredients are genuinely involved in this vaccine i dont want it as a healthy young man… ,Positive,2
1510, if your dick trusts us  your upper arm easily can vaccination pfizerbiontech,Positive,2
1511,profvrr alandove thank you so much team for this edition unfortunately here in australia stupid… ,Neutral,1
1512,if  was an ice cream nyc newyork covid    pandemic coronavirus icecream park… ,Neutral,1
1513,mycovidvax first shot pfizerbiontech to protect and keep my family my friends my colleagues my neighbors my p… ,Positive,2
1514,my grandad is getting the first part of the pfizerbiontech  vaccine tomorrow —a great scientific achiev… ,Positive,2
1515,hopefully the first step in putting this all behind us great service from the  vaccine team setrust this… ,Positive,2
1516,i wasnt going to say anything about the vaccine anymore but this crossed my path think twice about vaccination… ,Neutral,1
1517, hours post covid vaccine and the pain in my arm has gone i am tired but its been a very long day  up at … ,Negative,0
1518,biden receives first dose of coronavirus vaccine publicly biden bidenvaccine pfizerbiontech,Neutral,1
1519, pfizer pfizercovidvaccine pfizerbiontech pfizerbiontech come on  give pfizer placebo participants vaccine too,Neutral,1
1520,new for rtenews at  oclock  ireland is now in a third wave of this pandemic with people urged to stay at ho… ,Neutral,1
1521,presidentelect joebiden received his first dose of the pfizerbiontech coronavirus vaccine on monday afternoon… ,Neutral,1
1522,so why do they call it the oxfordvaccine when it’s developed by oxford amp astrazeneca  but pfizer vaccine whe… ,Neutral,1
1523,after you get the vaccine how quickly does immunity kick in for example after you get the flu vaccine it takes t… ,Negative,0
1524,question should the coviddeniers in the house and senate be moved to the front of the covidvaccine vaccine line… ,Neutral,1
1525,“we owe you big we really do” joebiden gives kudos to frontline health workers including the nurse practitioner… ,Positive,2
1526,amymek naomirwolf covidvaccine  no wonder they wanted protection from liability its all on taxpayers now th… ,Negative,0
1527,the european union’s drug regulator has approved the pfizerbiontech coronavirus vaccine for emergency use weeks af… ,Positive,2
1528,i woke up with right deltoid pain this morning high psychosomatic resemblance of the im injection ive been thinki… ,Negative,0
1529,hannahthibedeau carolemacneil zchagla q when i receive my second dose of pfizerbiontech and once  days or s… ,Neutral,1
1530,feeling fine at  hours mildarmsoreness   vaccinessavelives pfizerbiontech  signingofffornow,Positive,2
1531, year old man died of  in cyprus raising pandemic death toll to  revised after  other deaths were… ,Negative,0
1532, modernavaccine arrive at baptisthealthsf and put in freezers at neg  this on top of the pfizerbiontech… ,Positive,2
1533,coronavirus update pfizer biontech covid vaccine price via youtube  pfizer… ,Neutral,1
1534,nhsuk thank you nhsuk for best christmas present ever  my  year old nhs worker mum vaccinated today against… ,Positive,2
1535,who will have the pfizer pfizerbiontech vaccine first and when can i get it covidvaccine authorisation for eur… ,Neutral,1
1536,newbrunswick reports  new cases of  ℹ a total of  individuals received their first dose of… ,Neutral,1
1537, european union has approved the pfizerbiontech coronavirus vaccine the first inoculations to start across  co… ,Positive,2
1538,both  vaccines are up to  effective and based on mrna with similar mild side effect profile pfizer… ,Positive,2
1539,eu approves biontechpfizer covid vaccine  pfizerbiontech  ,Positive,2
1540,health minister stephen donnelly has said the pfizerbiontech covid vaccine will be rolled out…… ,Neutral,1
1541,the european commission has granted a conditional marketing authorization cma for the pfizerbiontech vaccine ma… ,Positive,2
1542,another serious question did any hospital workers in fl receive the pfizerbiontech vaccine or did fl wait an ent… ,Negative,0
1543,coronavirus biontech pfizer pfizerbiontech science will win sciencewillwin lets make this trending ,Positive,2
1544,after a very busy week i’ve managed to get back on social media and my whole feed is full of covidvaccine i need… ,Neutral,1
1545,moph covid vaccination in qatar to start on december  qatar qatarnews  pfizerbiontech ,Neutral,1
1546,fn scar walther tous les jours fuck biontech vaccin pfizerbiontech freezecorleone,Negative,0
1547,the first shipment of pfizerbiontech covidvaccines arrived in singapore  priority will be given to healthca… ,Neutral,1
1548, full report on pfizerbiontech vaccine  approval in europe and the new strain of  that could already be… ,Positive,2
1549,please sign and retweet thank you    schoolsuk  saveourschools covidvaccine… ,Positive,2
1550,the presentation of ema approval today for pfizer coronavaccine  looks like a remake of the cancer vaccin pres… ,Positive,2
1551,dr lisa wahlrab walsh  became one of the first to receive the pfizerbiontech covid vaccine last week re… ,Neutral,1
1552,is pfizerbiontech vaccine protecting against the new uk covid variant the answer is yes according to evercore is… ,Positive,2
1553,i’m still waiting for someone to say that the vaccine is from pfizer and beyoncé   pfizerbeyonce pfizerbiontech coronavirus,Neutral,1
1554, following emanews recommendations released earlier today the eucommission grants marketing authorisation co… ,Positive,2
1555,after uk  canada and us  now europe approves pfizerbiontech covid vaccine valimai,Positive,2
1556,two of three members of our household officially vaccinated so thankful covidvaccine pfizerbiontech ,Positive,2
1557,many of us would balk at accepting a cell line from the kidney of a holocaust victim even though that injustice f… ,Negative,0
1558,half a million people in britain have now received their first dose of the covid pfizerbiontech vaccine,Neutral,1
1559,seeing posts of my colleagues all over the us getting their shots of the pfizerbiontech vaccine this is the true… ,Neutral,1
1560,borisjohnson said  people hav been vaccinated against  uk has only recd  doses of the vacc… ,Neutral,1
1561,after uk  canada and us  now europe approves pfizerbiontech covid vaccine,Positive,2
1562,vaccine  accomplished small pinch no burn at the push in and out within  minutes orlandohealth has vaccinat… ,Positive,2
1563,eu watchdog approves pfizerbiontech vaccine pandemic,Positive,2
1564,interesting interview with john moore professor of microbiology and immunology cornell by ajenglish re uk appro… ,Positive,2
1565,the vaccine rollout in the us is a pathetic failure where are the doses we were promised moderna amp pfizer… ,Negative,0
1566,varadkar ireland will start slower but catch up on covid vaccine  on the record  ,Neutral,1
1567,stephen donnelly says arrival of coronavirus vaccine is a day of hope  newstalk  ,Positive,2
1568,someone hacked the vaccine get rekt pfizer  pfizerbiontech pfizervaccine vaccines ,Negative,0
1569,just got the call that i will be getting the pfizerbiontech covidvaccine next week at grhospitalkw feeling like… ,Positive,2
1570,isnt william shakespeare due his  covid shot wheres the media at pfizerbiontech ,Neutral,1
1571,when no one get vaccinated the disease can spread easily  vaccination pfizerbiontech,Positive,2
1572,belated xmasboxing day gift thank you montefiorenyc and the scientists at pfizerbiontech covidvaccine ,Positive,2
1573,well sent well received vaccination vaccine covid pfizer pfizerbiontech ,Positive,2
1574, pfizercovidvaccine pfizerbiontech day  post vaccine  ask questions get answers two… ,Neutral,1
1575,proud to have received pfizerbiontech vaccine today much more comfortable than wearing ppe all day grateful to l… ,Positive,2
1576,dont drop it pfizerbiontech  ,Positive,2
1577,reverse engineering the source code of the biontechpfizer sarscov vaccine  articles covid vaccine… ,Neutral,1
1578,businessinsider maga covidiots are using hydroxychloroquine  but their political masters are taking… ,Neutral,1
1579,us andor israeli connections in other words both the pfizerbiontech and the moderna vaccines what i meant to say,Neutral,1
1580, abc not only do i trust it  days ago i received the pfizerbiontech covidvaccine and the next… ,Negative,0
1581, if i was vulnerable and had the choice based on data to date i’d want pfizerbiontech vaccine but… ,Negative,0
1582,looking forward to receiving the pfizer–biontech covid vaccine on monday morning ospniguarda … ,Neutral,1
1583,now my turn to return the favor spending the whole day vaccinating wustlmed and barnesjewish employees with the… ,Positive,2
1584,the transfer of the first shipment of pfizerbiontech vaccine to the uae dohsocial ,Neutral,1
1585,covid how you can book an appointment for the pfizerbiontech vaccine in dubai vaccine is available at six h… ,Neutral,1
1586,comparing the pfizerbiontech and moderna  vaccines ,Neutral,1
1587,at a time when pfizerbiontech sputnikv moderna is already used  mass inoculation in other countries poor d… ,Negative,0
1588,central drugs standard control organisation will evaluate oxfords  vaccine for emergency use in india… ,Negative,0
1589,in summer  as  was exponentially spreading trump declined several offers to procure millions of addit… ,Neutral,1
1590,so grateful for science and scientists never have been this super excited to go to hospital during christmas ho… ,Positive,2
1591,nice comparison of the pfizerbiontech and moderna covidvaccines ,Positive,2
1592,irak the country is part of the gavi vaccine alliance which oversees covax the uns global vaccine access mecha… ,Neutral,1
1593,first pfizerbiontech coronavirus vaccines arrived in poland late on friday which the prime minister mateusz mor… ,Neutral,1
1594,the same mhra that is responsible for the pfizerbiontech  vaccine approval in  ,Positive,2
1595,first doses of vaccines from pfizerbiontech reach lithuania ,Neutral,1
1596, happy boxing day usually this has been the day when finns meet friends go to movies etc but today we… ,Positive,2
1597,first batch of covid vaccines arrive in cyprus pfizerbiontech ,Neutral,1
1598,first shipment of pfizer covid vaccine reaches france on saturday vaccination of first dose begins on sunday… ,Positive,2
1599,spain will receive  million doses of pfizerbiontechs coronavirus vaccine over the next  weeks to vaccina… ,Neutral,1
1600,the rollout of the pfizerbiontech covid across europe is under way following approval on monday by the european… ,Positive,2
1601,cyprus will be taking delivery at noon on saturday of first  coronavirus vaccines from pfizerbiontech th… ,Neutral,1
1602,found a beautiful article via esteban thanks it is amazing on how the vaccine from pfizer works i will try… ,Positive,2
1603,an irish boy writes to pfizer requesting a vaccination for santa and receives a reply from its ceo  the new y… ,Neutral,1
1604,covid coronavirus will stay with us for next  years biontech ceo pfizerbiontech covidvaccines ,Neutral,1
1605,i guess you can call me the vaccine pro   donthatetheplayaz  pfizerbiontech ,Neutral,1
1606,chicago area hospital pauses  vaccinations following allergicreactions coronavaccine … ,Neutral,1
1607,mera number kab aayega  i am already shivering  c   vaccine pfizerbiontech ,Positive,2
1608,feeling mostly back to normal day  post pfizerbiontech  notthrowingawaymyshot thisisourshot… ,Positive,2
1609,coronavirus vaccine a miraculous result of frontiers of modern biotechnology amp information technology entire dev… ,Neutral,1
1610,the  effective pfizer vaccine is being rolled out for all dubai residents starting today free of cost… ,Positive,2
1611,tony blair makes a good point one shot for everyone to curb the pandemic now  vaccination… ,Positive,2
1612,singapore on december  became the first asian country to begin its vaccination programme with pfizerbiontechs c… ,Neutral,1
1613,three sizes available on my etsy shop igottheshot vaccination vaccine vaccinated… ,Neutral,1
1614,explainerwhere are we in the covid vaccine race  vaccine pfizerbiontech ,Neutral,1
1615,finally vaccine started in all the eu vaccineday is truly historic bringing hope and relief to millions of peop… ,Positive,2
1616,bmw    biontech no under construction to save your little behinds thegranturismo gtsport… ,Positive,2
1617,go go go  pfizerbiontech ,Neutral,1
1618,for my fellow docs and science nerds a sunday morning vaccine cheer gimme an” a” a “c” a “g” a “u” what’s that… ,Positive,2
1619,the europeanunion on sunday officially started rolling out a mass vaccination campaign against  the camp… ,Neutral,1
1620,the comparison of vaccines poses the question shouldnt moderna use its capacity to produce the vaccine of… ,Neutral,1
1621,vonderleyen no love lost  theeu eu eunations eucountries euparliament eupoliticians vonderleyen… ,Positive,2
1622,elle a snifé   hey take it easy  respire calmement  nonauvaccin  pfizerbiontech ,Positive,2
1623,statedept realdonaldtrump today arrived  vaccine in italy by pfizerbiontech thanks president trump to gi… ,Positive,2
1624,a full day after i had received the pfizerbiontech   vaccine all is well  the arm soreness a… ,Positive,2
1625,i dont want to rattle your unwavering confidence in pfizerbiontech or any other  vaccines but i must say… ,Positive,2
1626,now for some light hearted fun i know someone who took the pfizervaccine thevaccine pfizerbiontech… ,Positive,2
1627,i have had the same excitement as kids have waiting for santa to come went to sleep early woke up before the alar… ,Positive,2
1628,so it begins vaccineday pfizerbiontech moderna astrazeneca europe eu hope ,Positive,2
1629,covid vaccination part  done    vaccination pfizerbiontech nhs ,Neutral,1
1630,please do not circulate false rumors wildly around social media and online discussion groups that a nurse died afte… ,Negative,0
1631,lebanon signed an   million deal with pfizerbiontech for  million doses expected in february this agreemen… ,Neutral,1
1632,done so thankful pfizerbiontech ,Positive,2
1633,newsreader at  on  announced europe was starting administration of  pfizerbiontech coronavirus “  word vaccine omitted,Neutral,1
1634,a happy day across europe as the europeanunion begins to roll out the pfizerbiontech vaccine vaccination is t… ,Positive,2
1635,one shot at a time   pfizerbiontech ,Neutral,1
1636, is the the new  pfizerbiontech moderna and now astrazeneca ,Neutral,1
1637,lebanon a country of more than six million people has signed an   million agreement with pfizerbiontech for… ,Positive,2
1638,on sunday morning cyprus officially began to roll out the pfizerbiontech covid vaccine targeting pensioners in… ,Neutral,1
1639,finland took delivery of a first batch of the pfizerbiontech coronavirus vaccine on saturday with the first vac… ,Neutral,1
1640,oman on sunday launched the coronavirus vaccination programme on with his excellency dr ahmed al saidi minister o… ,Positive,2
1641,kuwait approved the pfizerbiontech vaccine in december and a site has been set up for people wishing to be vaccin… ,Positive,2
1642,eu launches pfizerbiontech vaccine rollout across the bloc ,Neutral,1
1643,vaccinated with pfizerbiontech  thank you saudimoh  ,Positive,2
1644,yearold woman first in germany to receive pfizerbiontech vaccine against coronavirus pfizerbiontech… ,Neutral,1
1645,some concerns about the pfizervaccine raised by letitiawright for which she was unfairly attacked… ,Neutral,1
1646,nstnation the nondisclosure agreement is a contract thus a breach of confidentiality amounts to a breach of… ,Positive,2
1647,alanbixter drajm  devisridhar youarelobbylud fda tgagovau as a consumer i would like to be informed… ,Positive,2
1648,super grateful to have received a pfizerbiontech  vaccine today i encourage everyone out there to do… ,Positive,2
1649,covid how you can book an appointment for the pfizerbiontech vaccine in dubai vaccine is available at six h… ,Neutral,1
1650,nstworld yearold woman in an elderly care home became the first person in germany to be inoculated against… ,Positive,2
1651,registered nurse from nashvilletn after taking the sarscov vaccine  via youtube… ,Neutral,1
1652,got my  vaccine  early morning on december  covidvaccine pfizerbiontech hope ,Positive,2
1653,where is tiffanydover  why no one has news from her   vaccin covidvaccine covid pfizer pfizerbiontech… ,Negative,0
1654,bill gates amp walter white on  breaking gates  painting by alejandro be via youtube… ,Neutral,1
1655,words can’t express how grateful i am to all those who made the covid vaccines possible and looking forward to the… ,Positive,2
1656,dailymailuk while i trust the pfizervaccine i would never trust the oxford have you seen the kind of moronic twa… ,Positive,2
1657, hamilton psw suffers rare but severe reaction to  vaccine  the psw suffered seizures and for a “brief… ,Negative,0
